dataset,dt_mode,lr,eff_bs,phys_bs,accum,seed,exit_code,wall_sec,output_dir
imm_studentlife,concat,1e-4,128,32,4,2,0,141,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/concat_lr-1e-4_bs-32_accum-4/seed2
imm_studentlife,concat,1e-4,128,32,4,3,0,112,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/concat_lr-1e-4_bs-32_accum-4/seed3
imm_ilinet,replace,2e-3,8,8,1,1,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/replace_lr-2e-3_bs-8_accum-1/seed1
imm_ilinet,replace,2e-3,8,8,1,2,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/replace_lr-2e-3_bs-8_accum-1/seed2
imm_ilinet,replace,2e-3,8,8,1,3,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/replace_lr-2e-3_bs-8_accum-1/seed3
imm_ilinet,learned,5e-4,8,8,1,1,0,34,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/learned_lr-5e-4_bs-8_accum-1/seed1
imm_ilinet,learned,5e-4,8,8,1,2,0,57,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/learned_lr-5e-4_bs-8_accum-1/seed2
imm_ilinet,learned,5e-4,8,8,1,3,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/learned_lr-5e-4_bs-8_accum-1/seed3
imm_ilinet,concat,5e-4,8,8,1,1,0,33,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/concat_lr-5e-4_bs-8_accum-1/seed1
imm_ilinet,concat,5e-4,8,8,1,2,0,30,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/concat_lr-5e-4_bs-8_accum-1/seed2
imm_ilinet,concat,5e-4,8,8,1,3,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/concat_lr-5e-4_bs-8_accum-1/seed3
imm_cesnet,replace,1e-4,8,8,1,1,0,59,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/replace_lr-1e-4_bs-8_accum-1/seed1
imm_cesnet,replace,1e-4,8,8,1,2,0,45,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/replace_lr-1e-4_bs-8_accum-1/seed2
imm_cesnet,replace,1e-4,8,8,1,3,0,25,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/replace_lr-1e-4_bs-8_accum-1/seed3
