dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_ilinet,learned,5e-4,32,32,1,6,0,48,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-32/seed1
imm_ilinet,learned,2e-3,8,8,1,7,0,34,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-8/seed1
imm_ilinet,learned,2e-3,16,16,1,8,0,40,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-16/seed1
imm_ilinet,learned,2e-3,32,32,1,9,0,40,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-32/seed1
imm_cesnet,learned,1e-4,8,8,1,1,0,61,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-8/seed1
imm_cesnet,learned,1e-4,16,16,1,2,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-16/seed1
imm_cesnet,learned,1e-4,32,32,1,3,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-32/seed1
imm_cesnet,learned,5e-4,8,8,1,4,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-8/seed1
imm_cesnet,learned,5e-4,16,16,1,5,0,21,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-16/seed1
imm_cesnet,learned,5e-4,32,32,1,6,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-32/seed1
imm_cesnet,learned,2e-3,8,8,1,7,0,29,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-8/seed1
imm_cesnet,learned,2e-3,16,16,1,8,0,18,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-16/seed1
imm_cesnet,learned,2e-3,32,32,1,9,0,18,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-32/seed1
imm_epa_air,learned,1e-4,32,32,1,1,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-32/seed1
imm_epa_air,learned,1e-4,64,16,4,2,0,19,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-64/seed1
imm_epa_air,learned,1e-4,128,32,4,3,0,18,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-128/seed1
imm_epa_air,learned,5e-4,32,32,1,4,0,30,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-32/seed1
imm_epa_air,learned,5e-4,64,16,4,5,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-64/seed1
imm_epa_air,learned,5e-4,128,32,4,6,0,35,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-128/seed1
imm_epa_air,learned,2e-3,32,32,1,7,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-32/seed1
imm_epa_air,learned,2e-3,64,16,4,8,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-64/seed1
imm_epa_air,learned,2e-3,128,32,4,9,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-128/seed1
imm_gdelt,replace,1e-4,64,16,4,1,0,72,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-64/seed1
imm_gdelt,replace,1e-4,128,32,4,2,0,86,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-128/seed1
imm_gdelt,replace,1e-4,256,32,8,3,0,128,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-256/seed1
imm_gdelt,replace,5e-4,64,16,4,4,0,96,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-64/seed1
imm_gdelt,replace,5e-4,128,32,4,5,0,63,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-128/seed1
imm_gdelt,replace,5e-4,256,32,8,6,0,88,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-256/seed1
imm_gdelt,replace,2e-3,64,16,4,7,0,111,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-64/seed1
imm_gdelt,replace,2e-3,128,32,4,8,0,62,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-128/seed1
imm_gdelt,replace,2e-3,256,32,8,9,0,86,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-256/seed1
imm_gdelt,concat,1e-4,64,16,4,10,0,95,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-1e-4_ebs-64/seed1
imm_gdelt,concat,1e-4,128,32,4,11,0,80,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-1e-4_ebs-128/seed1
imm_gdelt,concat,1e-4,256,32,8,12,0,134,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-1e-4_ebs-256/seed1
imm_gdelt,concat,5e-4,64,16,4,13,0,106,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-5e-4_ebs-64/seed1
imm_gdelt,concat,5e-4,128,32,4,14,0,106,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-5e-4_ebs-128/seed1
imm_gdelt,concat,5e-4,256,32,8,15,0,76,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-5e-4_ebs-256/seed1
imm_gdelt,concat,2e-3,64,16,4,16,0,51,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-2e-3_ebs-64/seed1
imm_gdelt,concat,2e-3,128,32,4,17,0,87,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-2e-3_ebs-128/seed1
imm_gdelt,concat,2e-3,256,32,8,18,0,76,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-2e-3_ebs-256/seed1
imm_repohealth,replace,1e-4,64,16,4,1,0,94,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-64/seed1
imm_repohealth,replace,1e-4,128,32,4,2,0,120,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-128/seed1
imm_repohealth,replace,1e-4,256,32,8,3,0,40,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-256/seed1
imm_repohealth,replace,5e-4,64,16,4,4,0,58,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-64/seed1
imm_repohealth,replace,5e-4,128,32,4,5,0,76,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-128/seed1
imm_repohealth,replace,5e-4,256,32,8,6,0,60,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-256/seed1
imm_repohealth,replace,2e-3,64,16,4,7,0,45,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-64/seed1
imm_repohealth,replace,2e-3,128,32,4,8,0,59,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-128/seed1
imm_repohealth,replace,2e-3,256,32,8,9,0,54,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-256/seed1
imm_repohealth,concat,1e-4,64,16,4,10,0,135,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-64/seed1
imm_repohealth,concat,1e-4,128,32,4,11,0,98,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-128/seed1
imm_repohealth,concat,1e-4,256,32,8,12,0,47,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-256/seed1
imm_repohealth,concat,5e-4,64,16,4,13,0,64,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-64/seed1
imm_repohealth,concat,5e-4,128,32,4,14,0,70,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-128/seed1
imm_repohealth,concat,5e-4,256,32,8,15,0,65,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-256/seed1
imm_repohealth,concat,2e-3,64,16,4,16,0,50,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-64/seed1
imm_repohealth,concat,2e-3,128,32,4,17,0,86,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-128/seed1
imm_repohealth,concat,2e-3,256,32,8,18,0,105,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-256/seed1
imm_fnspid,replace,1e-4,64,16,4,1,0,154,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-64/seed1
imm_fnspid,replace,1e-4,128,32,4,2,0,167,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-128/seed1
imm_fnspid,replace,1e-4,256,32,8,3,0,219,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-256/seed1
imm_fnspid,replace,5e-4,64,16,4,4,0,175,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-64/seed1
imm_fnspid,replace,5e-4,128,32,4,5,0,110,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-128/seed1
imm_fnspid,replace,5e-4,256,32,8,6,0,110,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-256/seed1
imm_fnspid,replace,2e-3,64,16,4,7,0,204,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-64/seed1
imm_fnspid,replace,2e-3,128,32,4,8,0,166,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-128/seed1
imm_fnspid,replace,2e-3,256,32,8,9,0,103,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-256/seed1
imm_fnspid,concat,1e-4,64,16,4,10,0,165,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-64/seed1
imm_fnspid,concat,1e-4,128,32,4,11,0,123,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-128/seed1
imm_fnspid,concat,1e-4,256,32,8,12,0,208,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-256/seed1
imm_fnspid,concat,5e-4,64,16,4,13,0,215,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-64/seed1
imm_fnspid,concat,5e-4,128,32,4,14,0,170,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-128/seed1
imm_fnspid,concat,5e-4,256,32,8,15,0,122,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-256/seed1
