dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_fnspid,learned,5e-4,256,32,8,15,0,20,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-5e-4_ebs-256/seed1
imm_fnspid,learned,2e-3,64,16,4,16,0,80,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-2e-3_ebs-64/seed1
imm_fnspid,learned,2e-3,128,32,4,17,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-2e-3_ebs-128/seed1
imm_fnspid,learned,2e-3,256,32,8,18,0,59,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-2e-3_ebs-256/seed1
imm_fnspid,concat,1e-4,64,16,4,19,0,108,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-1e-4_ebs-64/seed1
imm_fnspid,concat,1e-4,128,32,4,20,0,141,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-1e-4_ebs-128/seed1
imm_fnspid,concat,1e-4,256,32,8,21,0,212,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-1e-4_ebs-256/seed1
imm_fnspid,concat,5e-4,64,16,4,22,0,114,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-5e-4_ebs-64/seed1
imm_fnspid,concat,5e-4,128,32,4,23,0,112,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-5e-4_ebs-128/seed1
imm_fnspid,concat,5e-4,256,32,8,24,0,105,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-5e-4_ebs-256/seed1
imm_fnspid,concat,2e-3,64,16,4,25,0,106,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-2e-3_ebs-64/seed1
imm_fnspid,concat,2e-3,128,32,4,26,0,49,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-2e-3_ebs-128/seed1
imm_fnspid,concat,2e-3,256,32,8,27,0,98,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-2e-3_ebs-256/seed1
imm_clustertrace,replace,1e-4,32,32,1,1,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-1e-4_ebs-32/seed1
imm_clustertrace,replace,1e-4,64,16,4,2,0,46,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-1e-4_ebs-64/seed1
imm_clustertrace,replace,1e-4,128,32,4,3,0,66,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-1e-4_ebs-128/seed1
imm_clustertrace,replace,5e-4,32,32,1,4,0,22,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-5e-4_ebs-32/seed1
imm_clustertrace,replace,5e-4,64,16,4,5,0,39,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-5e-4_ebs-64/seed1
imm_clustertrace,replace,5e-4,128,32,4,6,0,40,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-5e-4_ebs-128/seed1
imm_clustertrace,replace,2e-3,32,32,1,7,0,18,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-2e-3_ebs-32/seed1
imm_clustertrace,replace,2e-3,64,16,4,8,0,27,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-2e-3_ebs-64/seed1
imm_clustertrace,replace,2e-3,128,32,4,9,0,34,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-2e-3_ebs-128/seed1
imm_clustertrace,learned,1e-4,32,32,1,10,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-1e-4_ebs-32/seed1
imm_clustertrace,learned,1e-4,64,16,4,11,0,66,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-1e-4_ebs-64/seed1
imm_clustertrace,learned,1e-4,128,32,4,12,0,72,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-1e-4_ebs-128/seed1
imm_clustertrace,learned,5e-4,32,32,1,13,0,29,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-5e-4_ebs-32/seed1
imm_clustertrace,learned,5e-4,64,16,4,14,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-5e-4_ebs-64/seed1
imm_clustertrace,learned,5e-4,128,32,4,15,0,55,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-5e-4_ebs-128/seed1
imm_clustertrace,learned,2e-3,32,32,1,16,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-2e-3_ebs-32/seed1
imm_clustertrace,learned,2e-3,64,16,4,17,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-2e-3_ebs-64/seed1
imm_clustertrace,learned,2e-3,128,32,4,18,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-2e-3_ebs-128/seed1
imm_clustertrace,concat,1e-4,32,32,1,19,0,48,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-1e-4_ebs-32/seed1
imm_clustertrace,concat,1e-4,64,16,4,20,0,71,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-1e-4_ebs-64/seed1
imm_clustertrace,concat,1e-4,128,32,4,21,0,93,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-1e-4_ebs-128/seed1
imm_clustertrace,concat,5e-4,32,32,1,22,0,26,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-5e-4_ebs-32/seed1
imm_clustertrace,concat,5e-4,64,16,4,23,0,43,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-5e-4_ebs-64/seed1
imm_clustertrace,concat,5e-4,128,32,4,24,0,49,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-5e-4_ebs-128/seed1
imm_clustertrace,concat,2e-3,32,32,1,25,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-2e-3_ebs-32/seed1
imm_clustertrace,concat,2e-3,64,16,4,26,0,32,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-2e-3_ebs-64/seed1
imm_clustertrace,concat,2e-3,128,32,4,27,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-2e-3_ebs-128/seed1
imm_studentlife,replace,1e-4,64,16,4,1,0,147,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-1e-4_ebs-64/seed1
imm_studentlife,replace,1e-4,128,32,4,2,0,121,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-1e-4_ebs-128/seed1
imm_studentlife,replace,1e-4,256,32,8,3,0,155,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-1e-4_ebs-256/seed1
imm_studentlife,replace,5e-4,64,16,4,4,0,55,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-5e-4_ebs-64/seed1
imm_studentlife,replace,5e-4,128,32,4,5,0,61,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-5e-4_ebs-128/seed1
imm_studentlife,replace,5e-4,256,32,8,6,0,53,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-5e-4_ebs-256/seed1
imm_studentlife,replace,2e-3,64,16,4,7,0,39,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-2e-3_ebs-64/seed1
imm_studentlife,replace,2e-3,128,32,4,8,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-2e-3_ebs-128/seed1
imm_studentlife,replace,2e-3,256,32,8,9,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-2e-3_ebs-256/seed1
imm_studentlife,learned,1e-4,64,16,4,10,0,59,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-1e-4_ebs-64/seed1
imm_studentlife,learned,1e-4,128,32,4,11,0,75,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-1e-4_ebs-128/seed1
imm_studentlife,learned,1e-4,256,32,8,12,0,120,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-1e-4_ebs-256/seed1
