dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_fnspid,learned,1e-4,64,16,4,10,0,203,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-64/seed1
imm_fnspid,learned,1e-4,128,32,4,11,0,296,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-128/seed1
imm_fnspid,learned,1e-4,256,32,8,12,0,171,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-256/seed1
imm_fnspid,learned,5e-4,64,16,4,13,0,156,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-64/seed1
imm_fnspid,learned,5e-4,128,32,4,14,0,117,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-128/seed1
imm_fnspid,learned,5e-4,256,32,8,15,0,255,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-256/seed1
imm_fnspid,learned,2e-3,64,16,4,16,0,192,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-64/seed1
imm_fnspid,learned,2e-3,128,32,4,17,0,84,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-128/seed1
imm_fnspid,learned,2e-3,256,32,8,18,0,118,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-256/seed1
imm_fnspid,concat,1e-4,64,16,4,19,0,290,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-64/seed1
imm_fnspid,concat,1e-4,128,32,4,20,0,164,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-128/seed1
imm_fnspid,concat,1e-4,256,32,8,21,0,203,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-256/seed1
imm_fnspid,concat,5e-4,64,16,4,22,0,135,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-64/seed1
imm_fnspid,concat,5e-4,128,32,4,23,0,173,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-128/seed1
imm_fnspid,concat,5e-4,256,32,8,24,0,172,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-256/seed1
imm_fnspid,concat,2e-3,64,16,4,25,0,60,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-64/seed1
imm_fnspid,concat,2e-3,128,32,4,26,0,84,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-128/seed1
imm_fnspid,concat,2e-3,256,32,8,27,0,115,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-256/seed1
imm_clustertrace,replace,1e-4,32,32,1,1,0,59,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-32/seed1
imm_clustertrace,replace,1e-4,64,16,4,2,0,93,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-64/seed1
imm_clustertrace,replace,1e-4,128,32,4,3,0,105,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-128/seed1
imm_clustertrace,replace,5e-4,32,32,1,4,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-32/seed1
imm_clustertrace,replace,5e-4,64,16,4,5,0,53,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-64/seed1
